SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1385.00,1393.35,1368.00,1371.35,1373.00,1381.40,1187,10812,14938049.00,
500003,AEGIS LOGIS ,A ,Q,334.90,335.50,325.55,328.30,328.30,325.50,1602,39689,13146579.00,
500008,AMAR RAJA BA,A ,Q,790.00,790.00,775.00,776.25,777.00,780.70,3760,117730,91751437.00,
500009,A.SARABHAI  ,X ,Q,27.30,27.90,26.50,27.15,27.15,26.70,638,289132,7940687.00,
500010,HDFC        ,A ,Q,2454.00,2507.00,2439.00,2496.25,2496.25,2430.55,15919,224612,555751082.00,
500012,ANDHRA PETRO,X ,Q,67.80,70.50,67.05,68.60,68.60,67.80,786,280852,19479490.00,
500013,ANSAL INFRAS,B ,Q,5.47,5.76,5.45,5.71,5.75,5.49,96,60469,337372.00,
500014,UTIQUE      ,X ,Q,2.30,2.32,2.21,2.32,2.32,2.32,13,1959,4389.00,
500016,ARUNAHTEL   ,XT,Q,6.70,6.70,6.70,6.70,6.70,6.80,2,200,1340.00,
500020,BOM DYEING  ,A ,Q,71.80,73.55,70.80,72.20,72.20,71.10,2956,541721,38994077.00,
500023,ASIANHOTNR  ,B ,Q,69.40,69.40,64.70,66.85,66.85,64.30,10,154,10413.00,
500027,ATUL LTD.   ,A ,Q,8497.00,8559.85,8265.00,8316.55,8326.35,8439.70,667,2862,23867852.00,
500028,ATV PROJECTS,XT,Q,4.64,4.73,4.29,4.63,4.65,4.51,49,18984,88262.00,
500031,BAJAJ ELECT.,A ,Q,1156.90,1156.90,1100.00,1115.40,1113.45,1117.25,2459,14430,16120887.00,
500032,BAJAJHIND   ,A ,Q,9.02,10.39,9.02,10.25,10.25,8.94,4523,4366395,42722470.00,
500033,FORCE MOTR  ,A ,Q,1204.00,1204.95,1142.70,1152.30,1150.00,1183.70,688,3705,4331697.00,
500034,BAJFINANCE  ,A ,Q,5589.00,5612.00,5457.20,5491.05,5491.05,5529.10,10019,95089,525505870.00,
500038,BALRAM.CHINI,A ,Q,322.05,328.95,312.05,316.95,316.95,311.05,5095,252951,81010732.00,
500039,BANCO PROD. ,B ,Q,154.00,156.00,151.00,152.05,152.05,154.40,463,13598,2085321.00,
500040,CENTURY TEXT,A ,Q,470.10,475.00,464.40,468.55,468.55,477.15,1225,65281,30662525.00,
500041,BANNARI AMAN,A ,Q,2030.00,2040.00,1970.00,1982.05,1982.00,1956.45,122,599,1199329.00,
500042,BASF INDIA  ,A ,Q,2293.05,2516.90,2293.00,2453.60,2453.60,2293.55,2726,18003,43956956.00,
500043,BATA INDIA  ,A ,Q,1353.10,1363.00,1346.70,1351.10,1351.10,1353.15,1361,17882,24186002.00,
500048,BEML LTD    ,A ,Q,1193.95,1199.00,1166.00,1177.65,1174.85,1190.00,522,33367,39545120.00,
500049,BHARAT ELECT,A ,Q,143.00,143.45,137.35,137.90,137.90,142.40,6484,753912,105144079.00,
500052,BHANSALI ENG,A ,Q,171.45,172.50,167.25,169.20,169.20,167.70,2730,286416,48489207.00,
500055,TATASTLBSL  ,B ,Q,89.70,95.85,89.70,95.85,95.85,87.15,12405,2450410,229979174.00,
500058,BIHAR SPONGE,XT,Q,4.83,4.83,4.83,4.83,4.83,4.74,25,32505,156999.00,
500060,BIRLACABLE  ,B ,Q,62.05,63.40,61.95,62.00,61.95,62.10,420,7967,495896.00,
500067,BLUE STAR   ,A ,Q,860.00,870.00,834.20,843.40,840.85,828.50,974,13117,11140293.00,
500068,DISA INDIA  ,X ,Q,4460.00,4575.00,4460.00,4504.30,4501.00,4505.00,22,86,390416.00,
500069,BNK CAPITAL ,XT,Q,190.00,191.80,188.65,189.05,189.05,190.50,15,1255,237073.00,
500074,BPL LTD.    ,B ,Q,32.35,32.35,31.40,32.35,32.35,30.85,133,29081,937499.00,
500078,OAL         ,B ,Q,896.00,896.65,863.35,868.90,869.00,896.35,391,6656,5872809.00,
500083,CENTURY EXT ,B ,Q,5.75,5.80,5.50,5.71,5.66,5.41,342,131167,750846.00,
500084,CESC LTD.   ,A ,Q,620.00,658.45,619.20,653.30,653.30,626.15,5495,104622,67673699.00,
500085,CHAMBAL FERT,A ,Q,223.70,224.20,217.55,218.90,218.90,221.75,1132,47913,10565081.00,
500086,EXIDE IND.  ,A ,Q,182.70,184.00,182.55,183.35,183.35,182.85,3412,231030,42331795.00,
500087,CIPLA LTD.  ,A ,Q,894.45,895.10,877.60,882.95,882.95,883.80,6316,274097,243099598.00,
500089,DIC INDIA   ,B ,Q,389.60,394.00,389.60,393.00,393.00,389.60,43,194,76128.00,
500092,CRISIL LTD  ,A ,Q,1899.00,1899.00,1850.00,1851.65,1857.35,1884.60,405,2223,4125442.00,
500093,CGPOWER     ,B ,Q,87.50,88.65,85.20,88.55,88.55,84.45,5558,2334465,206153551.00,
500096,DABUR (I)   ,A ,Q,550.00,550.00,532.50,534.70,534.70,545.45,11239,394027,211714243.00,
500097,DALMIASUG   ,A ,Q,290.00,297.15,286.00,288.05,286.00,278.20,1145,34450,9983566.00,
500101,ARVIND Ltd  ,A ,Q,73.90,74.00,72.10,73.55,72.85,73.60,1621,172491,12613644.00,
500102,BALARPUR IND,Z ,Q,1.10,1.14,1.07,1.11,1.12,1.10,134,275930,310436.00,
500103,BHEL        ,A ,Q,58.45,58.80,57.25,57.85,57.85,58.00,12345,5973864,346449352.00,
500104,HIND.PETRO  ,A ,Q,246.00,252.55,240.90,251.60,251.60,245.65,4194,332164,82396428.00,
500106,IFCI LTD    ,A ,Q,11.00,11.08,10.61,10.75,10.75,10.96,1737,459559,4987373.00,
500108,MAHA.TELE   ,B ,Q,17.40,17.45,16.70,16.80,16.80,17.05,1087,277844,4740090.00,
500109,MRPL        ,A ,Q,44.85,44.95,43.40,43.90,43.90,44.10,683,131586,5789229.00,
500110,CHENNAI PET.,A ,Q,108.80,115.50,108.20,114.15,114.15,108.80,3872,217093,24432730.00,
500111,REL.CAP.    ,B ,Q,11.00,11.42,10.71,11.26,11.26,10.88,1561,1135487,12795711.00,
500112,STATE BANK  ,A ,Q,356.10,362.15,353.05,358.20,358.20,355.50,14369,1531067,546850366.00,
500113,STEEL AUTH. ,A ,Q,136.90,145.85,136.10,144.25,144.25,133.65,33442,9544195,1346363614.00,
500114,TITAN       ,A ,Q,1447.90,1459.15,1440.25,1448.70,1448.70,1443.55,1547,29574,42909034.00,
500116,IDBI BANK L ,A ,Q,40.85,40.95,38.75,38.90,38.90,40.50,7773,2437143,95976939.00,
500117,DCW LTD.    ,B ,Q,35.45,36.30,34.70,34.90,34.90,35.45,1755,367332,12947547.00,
500119,DHAMPUR SUGA,A ,Q,285.75,295.00,281.90,285.25,285.25,264.80,4828,267566,76875823.00,
500120,DIAMINES&CHM,X ,Q,339.40,339.40,327.10,333.85,337.00,329.65,367,13268,4414153.00,
500123,ELANTAS     ,A ,Q,3636.05,3636.05,3519.90,3558.50,3546.00,3631.15,199,1989,7100685.00,
500124,DR.REDDY'S  ,A ,Q,5208.00,5249.00,5165.65,5173.55,5173.55,5165.65,3443,33446,173759456.00,
500125,E.I.D.PAR   ,A ,Q,427.00,438.95,412.00,418.30,418.30,420.35,3656,144498,61631216.00,
500126,PGHL        ,A ,Q,6040.00,6040.00,5700.00,5869.35,5869.35,6270.50,1302,4403,25903293.00,
500128,ELEC.CASTING,B ,Q,33.50,34.80,33.50,33.80,33.55,33.45,835,136655,4690489.00,
500133,ESAB INDIA  ,A ,Q,1787.65,1828.55,1787.65,1801.25,1795.00,1806.60,124,370,671199.00,
500135,EPL         ,A ,Q,229.20,234.50,224.60,232.60,232.60,225.10,1302,38626,8880377.00,
500136,ESTER INDUS.,B ,Q,150.00,152.95,143.60,144.65,144.80,149.00,819,31303,4622457.00,
500142,FGP LTD.    ,XT,Q,1.42,1.42,1.42,1.42,1.42,1.44,2,525,745.00,
500143,P.H.CAPITAL ,X ,Q,28.45,28.45,28.45,28.45,28.45,29.90,4,345,9815.00,
500144,FINOL. CABLE,A ,Q,356.70,362.95,356.70,357.70,357.15,356.85,185,2544,912331.00,
500147,COCKERILL   ,X ,Q,840.10,868.50,840.10,849.85,849.85,850.90,66,2319,1981399.00,
500148,UFLEX LTD   ,A ,Q,452.95,452.95,437.30,439.20,439.00,446.95,692,16769,7423457.00,
500150,FOSECO INDIA,B ,Q,1439.00,1462.00,1413.55,1416.15,1420.65,1386.20,203,877,1252276.00,
500151,GOLDEN TOB  ,B ,Q,45.30,47.25,42.80,44.20,44.25,45.80,103,5293,233304.00,
500153,GANESH BENZO,X ,Q,68.60,68.65,66.25,67.05,67.05,67.85,296,41664,2803423.00,
500159,METROGLOBL  ,X ,Q,62.00,64.00,56.30,60.05,61.00,58.40,121,5581,345976.00,
500160,GTL LTD.    ,B ,Q,7.35,7.35,6.96,6.96,6.96,7.32,698,281888,1984345.00,
500163,GODFREY PH  ,A ,Q,868.20,871.00,860.00,861.30,862.00,863.70,236,3313,2862087.00,
500164,GODREJ IND  ,A ,Q,504.00,517.10,504.00,508.70,506.00,507.30,337,5457,2785476.00,
500165,KANSAI NERO ,A ,Q,599.75,599.75,587.55,590.95,588.70,592.15,527,11169,6605917.00,
500166,GOODRICKE   ,X ,Q,238.25,248.45,229.25,244.35,244.35,238.25,342,34539,8352989.00,
500168,GOODYEAR (I),A ,Q,911.55,931.00,907.45,912.80,913.50,911.55,276,2399,2190814.00,
500170,GTN INDUS   ,X ,Q,11.59,11.59,10.23,10.25,10.25,10.54,34,5140,54514.00,
500171,GHCL LTD    ,A ,Q,238.95,241.45,237.60,241.05,241.05,238.15,435,14369,3448070.00,
500173,GFLLIMITED  ,A ,Q,71.45,72.00,70.40,70.90,71.05,70.50,51,2813,199494.00,
500174,GUJ.LEASE   ,B ,Q,1.79,1.79,1.79,1.79,1.79,1.88,1,375,671.00,
500179,HCL INFOSYS ,B ,Q,8.35,8.59,8.35,8.52,8.50,8.49,223,63988,543027.00,
500180,HDFC BANK   ,A ,Q,1407.00,1424.50,1407.00,1414.60,1414.60,1401.45,18874,421320,597963233.00,
500182,HEROMOTOCO  ,A ,Q,2962.00,2992.20,2820.50,2856.30,2856.30,2913.00,7829,86035,247118738.00,
500183,HFCL        ,A ,Q,34.70,36.00,32.70,35.15,35.15,34.00,7116,3333140,115134226.00,
500184,HSCL        ,A ,Q,46.25,49.70,45.95,48.75,48.75,45.70,6582,2321580,111872817.00,
500185,HIND.CONSTN.,A ,Q,7.59,7.88,7.59,7.69,7.69,7.59,438,305367,2363233.00,
500186,HIND.OIL EXP,A ,Q,106.70,106.70,101.60,103.05,104.00,104.60,809,54007,5592115.00,
500187,HSIL        ,B ,Q,160.50,181.00,157.70,175.20,175.20,159.65,1994,98076,16797909.00,
500188,HINDUS.ZI   ,A ,Q,299.10,316.05,299.10,309.65,309.65,296.45,7724,370800,114677740.00,
500189,NXTDIGITAL  ,B ,Q,460.05,479.90,450.30,457.45,450.30,460.60,50,764,351161.00,
500191,HMT LTD.    ,Z ,Q,25.50,27.50,25.50,26.00,26.50,26.50,79,10681,276910.00,
500192,PRAG BOSIMI ,XT,Q,1.57,1.57,1.44,1.44,1.44,1.50,20,10650,15395.00,
500193,HLVLTD      ,B ,Q,6.05,6.05,5.79,6.00,6.00,5.91,107,8182,48827.00,
500199,I.G.PETRO   ,B ,Q,459.95,462.05,443.00,444.10,446.25,453.50,604,7846,3542908.00,
500201,IND.GLYCOLS ,A ,Q,506.70,515.00,500.00,503.45,500.00,494.20,1651,39503,19989347.00,
500202,IND.LEAS.DEV,X ,Q,10.50,10.50,10.40,10.40,10.40,10.00,2,2,20.00,
500206,MARGO FIN   ,X ,Q,10.15,10.15,10.00,10.00,10.00,9.67,3,21,211.00,
500207,INDO RAMA   ,B ,Q,43.00,43.50,40.40,41.10,41.45,41.95,300,35093,1456627.00,
500209,INFOSYS LTD ,A ,Q,1366.00,1372.40,1348.90,1352.40,1352.40,1361.15,9801,149432,202815144.00,
500210,INGERSOLL   ,A ,Q,744.35,749.65,734.95,737.75,737.10,738.95,241,831,617799.00,
500211,INSILCO LTD.,X ,Q,7.27,7.57,7.15,7.27,7.15,7.45,78,21369,157250.00,
500212,INTEG.FIN.SE,XT,Q,29.00,29.00,28.95,28.95,28.95,28.95,3,200,5792.00,
500213,INTER.TRAVEL,X ,Q,59.60,61.20,59.05,59.10,59.10,59.55,38,4008,239251.00,
500214,ION EXCHANGE,A ,Q,1416.00,1475.00,1403.85,1437.55,1437.55,1403.85,1865,67030,96794166.00,
500215,AGRO TECH FO,A ,Q,993.00,1024.00,964.00,973.15,970.00,983.30,711,4414,4368386.00,
500219,JAIN IRRIG  ,A ,Q,18.90,19.20,18.60,19.10,19.05,18.70,755,179167,3384832.00,
500220,JASCH INDUST,X ,Q,65.25,67.00,65.10,65.20,65.10,65.15,59,6342,418346.00,
500223,JCT LTD     ,X ,Q,1.00,1.10,0.98,1.10,1.10,1.00,914,3820453,4124284.00,
500227,JINDAL POLYF,A ,Q,829.90,852.85,809.75,828.00,830.00,828.05,1158,21442,17807346.00,
500228,JSWSL       ,A ,Q,740.00,766.70,736.90,757.10,757.10,729.50,17527,1271845,953939503.00,
500231,UMANG DAIR  ,B ,Q,62.05,62.30,58.05,59.20,59.20,60.60,238,15056,894047.00,
500233,KAJARIA CER.,A ,Q,915.00,916.75,893.30,903.65,904.95,908.90,701,4600,4151634.00,
500234,KAKATIYA CEM,B ,Q,240.00,253.00,233.00,240.30,237.85,235.00,1045,12043,2922228.00,
500235,KALYANI STEL,A ,Q,370.15,395.20,370.15,389.00,389.00,367.65,2101,53515,20494939.00,
500236,KANELIND    ,XT,Q,2.17,2.17,2.16,2.17,2.17,2.13,42,45045,97742.00,
500238,WHIRLPOOL   ,A ,Q,2169.90,2169.90,2145.10,2151.45,2150.00,2149.85,721,2924,6300330.00,
500239,KG DENIM    ,X ,Q,35.85,36.80,34.60,34.80,34.60,34.50,149,13458,473650.00,
500240,KINETIC ENG.,XT,Q,40.95,41.35,38.55,39.30,40.00,40.50,43,6272,248989.00,
500241,KIRL.BROS.  ,B ,Q,244.80,247.05,240.40,241.35,240.80,240.60,213,12254,3010128.00,
500243,KIRL INDUS  ,B ,Q,1423.00,1500.00,1409.15,1450.35,1450.00,1386.90,183,1571,2289592.00,
500245,KIRL.FERROUS,B ,Q,229.95,245.00,229.00,242.70,243.00,225.25,2188,108171,25769103.00,
500246,ENVAIN ELECT,X ,Q,29.10,31.15,29.00,31.00,31.00,29.75,6,500,15125.00,
500247,KOTAK MAH.BK,A ,Q,1790.00,1812.35,1774.25,1779.95,1779.75,1786.85,4276,102663,183855061.00,
500249,KSB         ,A ,Q,930.00,962.30,922.35,933.95,935.80,922.70,974,11670,11036679.00,
500250,L.G.BALKRISH,A ,Q,292.10,295.00,286.00,289.30,288.75,286.10,154,2344,677219.00,
500251,TRENT LTD.  ,A ,Q,783.00,784.30,742.90,753.65,753.65,778.20,1731,35136,26925319.00,
500252,LAXMIMACH   ,A ,Q,6185.15,6265.00,6161.35,6172.50,6193.00,6164.00,87,241,1491318.00,
500253,LIC HOUS.FIN,A ,Q,416.00,425.10,413.15,422.70,422.70,412.30,4502,233145,98026400.00,
500257,LUPIN LTD.  ,A ,Q,1196.00,1240.80,1188.50,1195.60,1195.60,1197.05,10741,341819,414946564.00,
500259,LYKA LABS   ,B ,Q,39.00,41.45,39.00,39.00,39.00,41.05,400,111054,4382928.00,
500260,RAMCOCEM    ,A ,Q,977.50,978.35,959.00,964.15,962.05,976.60,777,15640,15113455.00,
500264,MAFATLAL IND,X ,Q,98.50,101.65,98.05,99.80,98.65,100.60,86,4420,439090.00,
500265,MAH.SEAMLESS,A ,Q,293.40,304.30,287.30,300.45,299.00,290.65,682,20185,5999386.00,
500266,MAH.SCOOTER ,A ,Q,3534.00,3560.00,3525.00,3541.10,3550.00,3535.20,53,140,495748.00,
500267,MAJESTIC AUT,X ,Q,106.05,107.95,103.35,104.30,104.30,108.70,93,5331,559997.00,
500268,MANALI PETRO,B ,Q,85.30,87.40,83.45,83.75,83.70,83.95,1234,106507,9097914.00,
500271,MFSL        ,A ,Q,941.00,941.00,910.85,917.15,914.75,931.85,1112,29268,26959165.00,
500274,MESCO PHARMA,P ,Q,5.26,5.26,5.26,5.26,5.26,5.52,8,1200,6312.00,
500277,MID INDIA IN,XT,Q,3.71,3.71,3.71,3.71,3.71,3.64,2,400,1484.00,
500279,MIRC ELECT  ,B ,Q,16.81,16.81,16.81,16.81,16.81,16.01,31,18419,309623.00,
500280,CENTURY ENKA,B ,Q,264.80,276.50,263.55,271.30,271.30,262.20,758,18754,5117164.00,
500284,LORDS CHLORO,X ,Q,34.00,37.95,33.20,35.05,35.05,34.55,17,853,30571.00,
500285,SPICEJET LTD,A ,Q,63.35,63.35,62.45,62.60,62.60,62.80,3335,427166,26856940.00,
500288,MOREPEN LAB.,A ,Q,58.00,61.80,58.00,61.80,61.80,58.90,3370,776784,47175681.00,
500290,MRF LTD.    ,A ,Q,78499.70,78700.00,77245.00,77465.05,77567.95,77920.95,854,1084,84307175.00,
500292,HEIDEL CEM  ,A ,Q,244.10,246.00,240.65,243.55,244.05,243.95,280,9417,2289087.00,
500294,NCC         ,A ,Q,74.50,77.25,74.25,76.70,76.70,74.15,3211,510972,38815688.00,
500295,VEDL        ,A ,Q,274.00,288.20,271.00,283.20,283.20,268.95,16841,2065204,581284503.00,
500296,NAHAR SPG.  ,B ,Q,120.75,120.75,115.90,119.85,119.85,115.00,414,12619,1511194.00,
500298,NAT.PEROXIDE,A ,Q,2384.80,2394.50,2300.00,2316.10,2316.10,2364.70,1531,9390,21973916.00,
500300,GRASIM IND. ,A ,Q,1450.00,1461.55,1434.00,1450.05,1455.00,1447.75,1452,40901,59301901.00,
500302,PEL         ,A ,Q,1704.00,1712.00,1663.15,1670.45,1670.45,1700.00,2005,26311,44299165.00,
500304,NIIT LTD.   ,A ,Q,174.45,174.80,167.80,169.70,169.70,173.35,1005,25572,4385194.00,
500306,JAYKAY      ,X ,Q,36.50,37.40,36.00,36.00,36.00,36.70,233,91109,3333047.00,
500307,NIRLON      ,A ,Q,285.00,285.95,284.60,284.60,284.60,285.00,30,5671,1614259.00,
500312,ONGC CORPN  ,A ,Q,110.50,112.30,109.65,111.50,111.50,110.10,5919,1714479,189686002.00,
500314,ORIENT HOTEL,B ,Q,24.30,24.90,24.00,24.30,24.20,24.70,181,4956,120742.00,
500317,OSWAL AGRO. ,B ,Q,9.90,9.90,9.00,9.24,9.28,9.44,263,24191,223619.00,
500319,INDIAN SUCRO,X ,Q,30.50,30.50,28.15,30.00,28.60,29.15,115,44651,1312989.00,
500325,RELIANCE    ,A ,Q,1940.00,1955.45,1925.90,1931.30,1931.30,1929.90,11329,178669,346750207.00,
500327,PILITA      ,B ,Q,14.00,14.00,13.05,13.27,13.17,13.43,274,37022,493366.00,
500330,RAYMOND     ,A ,Q,338.25,351.30,336.00,337.70,337.70,328.15,3756,157680,53897704.00,
500331,PIDILITE    ,A ,Q,1820.00,1825.85,1807.00,1815.40,1815.40,1800.00,1640,16925,30769789.00,
500333,PIX TRANS   ,X ,Q,438.00,452.00,424.00,450.05,450.05,427.00,564,39805,17615107.00,
500335,BIRLA CORPN.,A ,Q,939.75,942.00,929.10,937.00,942.00,931.05,431,4595,4290951.00,
500336,SURYA ROSHNI,A ,Q,464.65,468.00,447.95,450.10,450.50,463.05,1440,28855,13134176.00,
500337,PRIME SECUR.,B ,Q,41.75,41.75,41.70,41.75,41.70,43.45,10,169,7055.00,
500338,PRSMJOHNSN  ,A ,Q,133.55,134.50,130.45,132.10,132.45,131.90,1004,31240,4115114.00,
500339,RAIN        ,A ,Q,176.50,183.00,174.00,181.35,181.35,175.45,7247,596819,106368740.00,
500343,AMJLAND     ,B ,Q,23.45,25.50,23.45,25.00,25.00,23.90,41,3814,93812.00,
500346,PUN.COMMUNI.,B ,Q,21.90,22.00,20.00,21.65,20.35,20.70,30,2797,59792.00,
500350,RSWM  LTD   ,B ,Q,212.20,218.00,211.05,215.65,215.30,210.30,234,7059,1522112.00,
500354,RAJSH.SUGAR ,B ,Q,20.15,21.80,20.15,21.30,21.25,20.85,78,8796,188351.00,
500355,RALLIS INDIA,A ,Q,295.00,297.85,288.60,289.85,289.85,289.55,1494,62691,18352205.00,
500356,RAMANEWS    ,B ,Q,15.82,17.07,15.55,16.65,16.80,15.65,330,36778,602787.00,
500357,RAMA PAPER  ,XT,Q,10.51,10.55,10.50,10.50,10.50,10.61,5,1758,18476.00,
500358,RAMA PETRO  ,X ,Q,2.50,2.50,2.40,2.43,2.43,2.50,5,2300,5567.00,
500360,RAPICUT CARB,X ,Q,27.40,27.40,25.60,25.70,25.70,25.70,23,2692,69928.00,
500365,WELSPLSOL   ,X ,Q,14.85,14.85,14.05,14.35,14.25,14.55,223,86506,1246561.00,
500366,ROLTA (I)   ,B ,Q,4.25,4.64,4.19,4.64,4.64,4.22,483,1127681,5180648.00,
500367,RUBFILA INT.,X ,Q,75.35,76.95,73.05,74.40,74.60,73.80,515,84514,6341520.00,
500368,RUCHI SOYA  ,B ,Q,684.00,684.00,660.05,674.55,674.55,676.30,539,3636,2458733.00,
500370,SALORA INT. ,XT,Q,41.25,41.25,37.60,39.85,39.75,39.30,15,2080,80525.00,
500378,JINDAL SAW  ,A ,Q,86.95,94.90,86.75,92.30,92.30,86.05,4290,617553,56182480.00,
500380,JK LAKSHMI  ,A ,Q,410.00,419.95,409.15,418.20,416.60,407.40,455,13219,5493609.00,
500387,SHREE CEMENT,A ,Q,27800.00,28038.00,27673.00,27874.30,27789.05,27735.70,674,3228,89890189.00,
500388,SHREE KRISHN,XT,Q,14.83,14.83,14.83,14.83,14.83,14.40,2,3,44.00,
500390,REL INFRA   ,A ,Q,46.35,49.05,46.00,47.40,47.40,46.35,4388,1063063,50770994.00,
500400,TATA POWER  ,A ,Q,104.00,104.00,102.20,102.65,102.65,102.90,13439,2518049,259000725.00,
500402,SPMLINFRA   ,B ,Q,10.04,10.15,9.60,9.99,9.99,9.99,135,2631,26044.00,
500403,SUNDARAM FAS,A ,Q,740.00,748.25,720.05,724.85,724.00,725.60,821,9817,7211698.00,
500404,SUNFLAG IRON,A ,Q,80.05,91.60,80.00,88.50,88.50,78.70,5853,737372,64187117.00,
500405,SUPREME PET ,A ,Q,715.00,730.00,710.85,712.90,713.00,712.50,546,7912,5678384.00,
500407,SWARAJ ENGIN,A ,Q,1543.00,1561.95,1540.00,1547.65,1547.65,1545.95,407,2022,3133594.00,
500408,TATA ELXSI  ,A ,Q,3765.00,3808.80,3650.00,3689.20,3689.20,3756.45,4240,24929,92630075.00,
500410,ACC LTD     ,A ,Q,1900.00,1928.75,1897.20,1903.35,1903.90,1895.15,981,14710,28118007.00,
500411,THERMAX     ,A ,Q,1510.00,1550.00,1501.05,1503.50,1503.50,1517.25,203,1104,1681118.00,
500412,THIRUMALAI  ,A ,Q,96.45,97.35,95.00,95.30,95.10,95.35,963,57499,5513572.00,
500413,THOMAS COOK ,A ,Q,47.75,47.75,46.15,46.95,47.15,46.95,661,28597,1344741.00,
500414,TIMEX GROUP ,X ,Q,35.50,35.50,34.30,34.50,34.65,35.50,63,21984,760942.00,
500418,TOKYO PLAST ,B ,Q,84.25,84.25,75.00,76.60,76.60,84.05,358,18288,1463041.00,
500420,TORRENT PHAR,A ,Q,2609.00,2658.60,2603.55,2616.15,2610.55,2609.40,1816,16934,44592960.00,
500422,TRANSCHEM   ,X ,Q,26.95,26.95,24.35,25.35,25.00,25.20,33,1128,28299.00,
500425,AMBUJA CEME ,A ,Q,313.50,317.65,311.00,312.30,312.30,314.50,3369,212473,66855653.00,
500426,UTLINDS     ,X ,Q,12.85,12.85,11.85,12.02,12.18,12.44,26,12698,150707.00,
500429,UNIPHOS ENT.,B ,Q,87.30,87.30,82.15,82.85,84.05,84.15,290,23026,1970465.00,
500439,VARD HOLDNG ,B ,Q,1682.05,1752.00,1682.00,1738.60,1701.00,1717.15,85,262,454054.00,
500440,HINDALCO    ,A ,Q,390.00,404.90,385.45,401.20,401.20,386.00,21150,1857626,735733479.00,
500444,WEST COAS PA,A ,Q,208.95,219.40,208.95,210.75,210.75,208.55,814,27707,5912551.00,
500449,HIND.ORG.CHM,B ,Q,39.60,39.60,38.20,38.90,38.90,39.25,463,102320,3990224.00,
500456,PAS.ACRYLON ,X ,Q,17.50,18.20,16.75,17.90,17.90,17.20,395,342474,6012134.00,
500458,KORE        ,XT,Q,2.22,2.22,2.11,2.11,2.11,2.22,5,661,1395.00,
500459,PROCTER &GAM,A ,Q,13348.80,13550.00,13200.00,13480.10,13350.00,13426.10,280,2597,34503455.00,
500460,MUKAND LTD. ,T ,Q,116.00,116.00,108.20,115.05,115.35,112.50,219,28991,3244071.00,
500463,AGCNET      ,B ,Q,1518.95,1529.70,1433.00,1445.90,1433.00,1492.05,237,883,1299259.00,
500464,UCAL FUEL   ,B ,Q,151.55,155.00,151.55,152.85,153.20,151.05,168,1879,288800.00,
500467,HARR.MALAYAL,B ,Q,175.30,178.90,172.70,173.95,174.00,173.45,518,15585,2733235.00,
500469,FEDERAL BANK,A ,Q,79.05,79.80,77.20,77.65,77.65,78.60,4228,926483,72152892.00,
500470,TATA STEEL  ,A ,Q,1129.00,1192.00,1129.00,1182.35,1182.35,1100.55,53228,2700760,3145047248.00,
500472,SKF INDIA   ,A ,Q,2232.00,2325.00,2232.00,2290.45,2290.45,2236.70,465,2345,5342956.00,
500477,ASHOK LEYL. ,A ,Q,114.15,115.10,113.10,114.25,114.25,113.85,2949,818864,93333208.00,
500480,CUMMINS (I) ,A ,Q,840.95,844.45,836.50,837.85,839.95,839.80,421,13711,11511891.00,
500483,TATA COMM   ,A ,Q,1107.00,1116.35,1076.50,1088.60,1088.60,1104.25,1209,13138,14348879.00,
500488,ABBOTT (I)  ,A ,Q,15473.80,15900.00,15316.40,15853.10,15853.10,15424.30,1311,2685,42017447.00,
500490,BAJ HOLD INV,A ,Q,3451.15,3557.00,3451.15,3525.85,3525.85,3442.85,887,3347,11674622.00,
500493,BHARAT FORGE,A ,Q,644.50,650.45,633.65,637.05,634.00,643.00,2037,89707,57600475.00,
500495,ESCORTS LTD.,A ,Q,1133.00,1172.00,1133.00,1162.20,1162.20,1132.60,10791,211054,244588497.00,
500500,HIND.MOTORS ,B ,Q,6.64,6.91,6.64,6.79,6.79,6.64,83,20782,141254.00,
500510,LARSEN & TOU,A ,Q,1346.80,1359.20,1338.55,1342.90,1342.90,1339.85,2489,54508,73494687.00,
500520,MAH & MAH   ,A ,Q,757.60,771.80,752.00,767.15,767.15,747.15,4223,175040,133685443.00,
500530,BOSCH LTD   ,A ,Q,13645.50,13661.00,13493.65,13616.65,13602.40,13610.45,266,662,8997224.00,
500540,PREMIER LTD ,B ,Q,2.38,2.43,2.38,2.43,2.43,2.32,12,7625,18251.00,
500547,BHARAT PET. ,A ,Q,434.15,446.85,428.10,443.70,443.70,433.85,7343,501817,219870683.00,
500550,SIEMENS LTD.,A ,Q,1862.00,1874.40,1842.45,1858.05,1854.20,1862.35,601,32374,60002723.00,
500570,TATA MOTORS ,A ,Q,303.20,305.85,300.45,302.80,302.80,301.15,15543,1639643,497351944.00,
500575,VOLTAS LTD  ,A ,Q,994.00,994.00,963.90,969.30,970.05,984.30,3133,63226,61551272.00,
500620,GREAT EASTE ,A ,Q,390.40,399.90,375.60,381.45,381.45,388.20,2920,51171,19675944.00,
500645,DEEPAK FERT.,A ,Q,276.30,278.40,266.10,269.25,266.10,273.70,1558,46791,12732520.00,
