SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
521149,PRIME URBAN ,XT,Q,8.15,8.15,8.15,8.15,8.15,8.15,1,40,326.00,
521151,DHANLXMI FAB,X ,Q,20.60,20.60,18.70,18.70,19.60,19.65,11,709,13930.00,
521163,ZODIAC CLOTH,B ,Q,91.40,91.80,90.15,91.30,91.30,91.15,108,3206,292122.00,
521180,SUPER SPIN. ,B ,Q,6.80,6.80,6.29,6.29,6.29,6.62,82,44721,287715.00,
521188,UNITED TEXT.,XT,Q,4.08,4.15,4.08,4.15,4.15,4.20,5,428,1755.00,
521194,SIL INVEST  ,B ,Q,238.00,241.00,225.45,225.55,225.55,238.40,158,2715,627849.00,
521200,SURYLAK.COTT,B ,Q,35.00,35.10,34.30,35.00,35.00,33.45,37,12401,432668.00,
521206,SAMTEX FASH.,X ,Q,1.20,1.20,1.20,1.20,1.20,1.15,20,22404,26884.00,
521216,DHAN ROTO SP,X ,Q,31.00,31.00,26.00,28.30,28.30,27.55,72,6580,188714.00,
521220,DAMOINDUS   ,B ,Q,26.95,27.10,25.80,26.60,26.60,26.85,61,2978,78534.00,
521226,UNI ROYAL IN,X ,Q,4.61,4.61,4.61,4.61,4.61,4.58,1,100,461.00,
521228,TATIA GLOB  ,X ,Q,0.60,0.62,0.60,0.60,0.60,0.61,11,1915,1159.00,
521234,SRI NACHAMAI,X ,Q,13.75,13.79,12.50,12.50,12.50,13.14,10,1650,21525.00,
521240,SAMBANDAM SP,X ,Q,95.90,95.90,88.00,95.70,95.70,91.35,38,4683,438457.00,
521244,CHITRA.SPIN.,XT,Q,9.80,9.80,9.80,9.80,9.80,9.99,4,201,1969.00,
521248,KITEX GARMEN,A ,Q,98.40,98.70,97.40,97.60,97.55,97.45,206,6736,658518.00,
522004,BATLIBOI LTD,X ,Q,17.10,17.80,16.80,16.90,16.90,17.10,54,11132,191353.00,
522005,AUSTIN ENGG.,X ,Q,44.45,44.45,42.00,42.75,42.00,43.00,13,1202,50867.00,
522014,UNITED DRILL,B ,Q,276.45,286.00,276.30,286.00,286.00,282.00,33,343,96840.00,
522017,FLUIDOMAT   ,X ,Q,83.80,88.50,83.80,86.85,86.85,87.80,65,6345,540493.00,
522027,EMA INDIA   ,XT,Q,11.90,12.03,11.90,12.03,12.03,11.80,4,1000,12012.00,
522029,WINDSOR MACH,B ,Q,29.45,29.50,29.10,29.20,29.20,29.55,165,3734,109136.00,
522034,SHANTHI GEAR,B ,Q,151.50,153.90,144.45,147.10,147.35,153.55,273,11841,1758514.00,
522064,HONDAPOWER  ,A ,Q,987.85,1014.10,975.15,985.50,988.20,987.85,202,908,899407.00,
522073,HITECHGEAR  ,B ,Q,183.40,183.90,181.05,183.90,183.90,183.00,66,468,84948.00,
522074,ELGI EQUIP  ,A ,Q,212.30,221.00,212.30,216.40,216.50,215.55,729,15131,3292814.00,
522091,UV DER HORST,X ,Q,19.50,19.55,19.45,19.50,19.50,19.60,7,2708,52806.00,
522101,KILBURN ENGG,X ,Q,24.70,24.95,22.95,23.10,23.50,24.70,42,8377,197386.00,
522105,BIRLA PRETEC,X ,Q,11.35,11.99,11.15,11.27,11.27,11.64,124,28710,330055.00,
522108,YUKEN INDIA ,X ,Q,464.00,475.00,452.10,459.35,455.10,462.35,271,14144,6519111.00,
522113,TIMKEN (I)  ,A ,Q,1398.05,1405.30,1385.00,1389.10,1389.00,1396.50,282,1673,2325394.00,
522122,VOITH PAPER ,X ,Q,1098.00,1098.90,1075.25,1096.00,1096.00,1072.80,4,68,74225.00,
522134,ARTSON ENG  ,X ,Q,46.50,47.45,46.05,47.25,47.45,47.00,81,22059,1032116.00,
522152,SOLITAIR MC ,X ,Q,25.00,25.45,24.65,25.00,25.00,24.70,15,1498,37221.00,
522163,DIAMONPOWER ,Z ,Q,0.64,0.70,0.64,0.67,0.70,0.67,15,15072,10312.00,
522165,INDSIL HYD  ,X ,Q,12.99,13.31,12.45,12.72,12.72,12.69,73,9946,128301.00,
522183,ITL INDUSTRS,X ,Q,102.95,107.00,101.00,106.80,106.90,101.40,113,9481,1002077.00,
522195,FRONTIER SPR,X ,Q,246.20,259.85,246.20,249.65,255.70,250.55,440,8040,2011243.00,
522205,PRAJ IND.LTD,A ,Q,265.20,277.85,264.15,267.25,267.25,248.95,15143,1116567,302368986.00,
522207,RASANDIK ENG,X ,Q,56.60,59.00,56.60,59.00,59.00,56.50,13,1548,91179.00,
522209,YOGI SUNGWON,X ,Q,3.22,3.23,3.11,3.23,3.23,3.08,27,14603,47002.00,
522215,HLEGLAS     ,B ,Q,2740.00,2911.60,2665.00,2829.60,2825.05,2802.30,1000,6116,17004015.00,
522217,GUJ APOIND  ,B ,Q,210.50,216.40,210.50,213.90,215.20,210.35,29,220,46783.00,
522229,TANEJA AERO.,X ,Q,31.70,32.00,30.50,31.30,31.15,31.70,105,17089,529962.00,
522231,CONART ENG. ,X ,Q,26.40,26.40,25.15,25.15,25.15,25.20,4,152,4010.00,
522241,M.M.FORGINGS,B ,Q,469.65,478.30,453.10,462.45,460.30,470.75,75,279,128985.00,
522249,MAYUR UNIQ. ,A ,Q,465.00,467.50,451.00,451.70,452.40,461.85,826,11537,5282288.00,
522251,CENLUB INDUS,X ,Q,60.10,63.00,58.80,60.10,60.00,60.00,37,3475,209603.00,
522257,RAJOO ENGIN.,X ,Q,24.35,24.35,22.70,23.85,23.85,23.55,541,180405,4261050.00,
522263,JMC PROJECTS,A ,Q,96.80,96.80,92.25,93.60,93.60,92.75,818,18152,1695471.00,
522267,VEEJAY LAKSH,XT,Q,35.75,35.75,32.50,35.70,35.70,34.10,11,390,12979.00,
522273,AHMED.STEEL ,X ,Q,14.00,14.00,13.90,13.90,13.90,14.60,14,1083,15066.00,
522275,GET&D       ,A ,Q,123.65,125.00,121.05,121.55,121.55,122.70,410,12524,1544009.00,
522281,RAM RAT.WIRE,X ,Q,83.75,85.00,82.90,84.60,84.75,83.35,83,6925,583594.00,
522285,JAY NECO IND,B ,Q,16.55,16.71,15.81,16.66,16.66,15.93,390,145036,2381855.00,
522287,KALPA.POWER ,A ,Q,359.80,380.10,359.60,378.05,378.05,353.90,822,19442,7242160.00,
522292,CHANDNI TE  ,X ,Q,55.40,58.45,54.35,56.75,56.75,56.80,130,17411,968848.00,
522294,T & I GLOBAL,X ,Q,103.90,106.00,100.00,100.50,101.30,102.50,136,5505,557873.00,
522295,CONTROL PRNT,B ,Q,317.20,319.50,308.10,308.40,308.60,316.75,221,4106,1278736.00,
522650,BEMCO HYDRAU,X ,Q,332.40,332.40,316.25,324.50,318.05,316.60,38,771,252352.00,
523007,ANSAL BUILD.,X ,Q,40.20,49.80,40.20,42.25,40.70,43.00,35,1215,51253.00,
523011,WEIZMANN LTD,B ,Q,44.65,47.70,44.00,45.30,45.30,43.40,106,6379,295269.00,
523019,B.N.RATHI SE,X ,Q,27.10,27.15,24.00,24.15,24.00,27.15,261,42040,1046521.00,
523021,RISHITECH   ,X ,Q,21.40,21.45,21.40,21.40,21.40,22.20,5,1087,23287.00,
523023,SINCLAIR HOT,X ,Q,47.40,47.80,45.90,47.00,47.45,47.90,128,34152,1601890.00,
523025,SAFARI IND. ,A ,Q,607.65,612.05,595.00,599.35,595.00,607.65,67,105,63305.00,
523100,COSMO FERR. ,X ,Q,23.20,24.95,23.15,23.55,23.55,24.35,31,3045,71474.00,
523116,SANCO TRANS ,X ,Q,209.95,210.00,209.95,210.00,210.00,204.60,2,101,21209.00,
523120,ADOR MULTI. ,X ,Q,87.40,87.40,79.00,83.05,83.00,85.65,58,13565,1116459.00,
523127,EIH ASSO.HOT,B ,Q,258.00,258.00,231.95,235.50,237.30,235.00,37,587,138445.00,
523144,MEDI CAPS   ,X ,Q,43.20,44.20,41.50,41.85,42.45,43.20,83,12699,533108.00,
523151,OTCO INTERN.,X ,Q,3.70,3.70,3.70,3.70,3.70,3.53,18,5515,20405.00,
523160,MORGAN CRU  ,X ,Q,841.00,880.00,840.10,852.25,857.50,866.20,44,554,469718.00,
523164,SIP INDUST. ,Z ,Q,2.27,2.27,2.27,2.27,2.27,2.38,1,44,99.00,
523204,ABAN OFFSHO ,B ,Q,35.25,35.25,33.25,33.50,33.50,33.60,638,55340,1911154.00,
523207,KOKUYOCMLN  ,B ,Q,56.55,56.55,55.40,55.40,55.55,56.10,176,6432,359443.00,
523229,BHARAT SEATS,X ,Q,77.95,79.80,72.05,73.55,73.55,74.80,896,169881,12849983.00,
523232,CONT.PETRO  ,XT,Q,45.10,47.90,44.05,44.80,46.00,46.00,86,6217,283170.00,
523248,MACHINO PLAS,X ,Q,86.35,86.40,86.35,86.40,86.40,88.00,4,450,38875.00,
523260,PEARL POLYME,B ,Q,15.75,16.90,15.70,16.15,16.15,15.75,110,1665,27285.00,
523261,VENKEY'S (I),A ,Q,1636.90,1664.60,1630.05,1639.55,1639.55,1636.90,1304,11498,18906845.00,
523269,ADVANI HOTEL,B ,Q,52.80,54.30,52.80,54.30,54.30,51.75,60,3046,165097.00,
523277,G.V.FILMS   ,X ,Q,0.32,0.33,0.30,0.32,0.32,0.32,106,117111,37153.00,
523283,SUPER HOUSE ,B ,Q,129.20,130.00,124.20,126.55,126.50,128.95,155,4267,543719.00,
523289,RAMA VISION ,X ,Q,8.09,8.49,8.09,8.49,8.49,8.09,5,33,269.00,
523301,TCPL PACK   ,B ,Q,469.00,480.00,451.40,478.80,480.00,471.55,87,1645,757956.00,
523319,BALMER LAWRI,A ,Q,127.35,128.00,124.85,125.75,125.75,126.45,1237,57916,7295773.00,
523323,KOVAI MEDI. ,X ,Q,1402.75,1402.75,1331.00,1353.65,1353.65,1382.75,820,11181,15187876.00,
523329,ELDECO HOUS.,X ,Q,1823.90,1823.90,1704.05,1778.50,1778.50,1780.00,43,204,361741.00,
523367,DCMSHRIRAM  ,A ,Q,711.80,711.80,686.90,695.40,695.40,693.35,701,18660,13020633.00,
523369,DCM SHR.IND ,X ,Q,283.00,288.90,273.00,282.60,280.20,272.15,463,30594,8594841.00,
523371,MAWANA SUGAR,B ,Q,50.30,50.30,48.90,49.70,49.70,47.95,521,49023,2453550.00,
523384,MAH.RAS.APEX,T ,Q,73.80,73.85,70.00,73.85,73.85,70.35,34,9836,725358.00,
523385,NILKAMAL L  ,A ,Q,2034.05,2034.80,2012.30,2026.45,2028.45,2035.90,177,910,1841590.00,
523391,NAHAR POLY  ,B ,Q,135.10,135.10,128.60,130.45,130.50,133.30,369,7518,988263.00,
523395,3M INDIA LTD,A ,Q,24852.60,24966.30,24669.00,24713.90,24749.00,24786.00,85,100,2482067.00,
523398,JCHAC       ,A ,Q,2292.00,2303.95,2252.00,2289.20,2290.00,2274.85,352,1384,3149273.00,
523405,JM FINANCIAL,A ,Q,83.90,83.90,80.60,81.15,81.00,82.35,1353,77764,6388293.00,
523411,ADCINDIA    ,X ,Q,207.90,207.90,197.25,205.70,206.00,197.40,39,3577,722226.00,
523419,TAMIL.TELE. ,T ,Q,5.10,5.21,5.10,5.21,5.21,5.11,4,850,4417.00,
523425,SUNRAJ DIAM.,Z ,Q,1.93,1.93,1.84,1.85,1.84,1.84,4,171,315.00,
523445,REL INDL INF,A ,Q,380.20,382.80,369.00,370.50,370.50,375.45,424,11197,4203190.00,
523449,SHARP INDIA ,X ,Q,27.95,27.95,26.25,26.35,26.35,27.35,12,2006,52845.00,
523457,LINDEINDIA  ,A ,Q,1786.00,1833.55,1746.95,1786.75,1778.35,1819.05,1578,12973,23171283.00,
523465,IND.BANK HSG,B ,Q,32.35,32.35,29.80,31.55,31.90,30.95,32,2418,75613.00,
523475,LOTUS CHOC  ,X ,Q,16.99,16.99,15.57,15.81,15.81,16.46,29,1457,23098.00,
523483,PACIFIC IND.,X ,Q,180.00,193.95,165.05,171.85,171.85,177.05,60,13161,2264348.00,
523489,CMM HOSPITAL,X ,Q,13.26,13.92,12.61,13.92,13.92,13.26,26,4796,65827.00,
523519,UNI OFF AUTO,X ,Q,2.47,2.47,2.47,2.47,2.47,2.25,4,1290,3186.00,
523537,APM INDUS.  ,X ,Q,24.30,24.40,24.00,24.10,24.40,24.30,49,9616,232057.00,
523539,PRECISION WR,B ,Q,195.00,199.00,194.75,198.85,199.00,193.30,126,3320,656666.00,
523550,KRYPTON IND ,X ,Q,9.48,9.48,9.11,9.20,9.20,9.29,43,3005,27786.00,
523566,MARTIN BURN ,X ,Q,35.10,35.10,35.00,35.00,35.00,34.40,3,10,350.00,
523574,FEL         ,B ,Q,9.15,9.28,8.93,9.03,9.00,8.99,400,367660,3326072.00,
523586,IND.TONERS  ,X ,Q,134.00,137.00,134.00,135.75,134.00,134.50,94,6340,859412.00,
523594,KUNSTSTOFFE ,X ,Q,24.00,25.00,22.80,22.80,22.80,24.00,10,211,4933.00,
523598,SHIPP.CORPN ,A ,Q,116.00,118.40,113.75,115.75,115.75,115.25,4976,839899,97368128.00,
523606,SIKA INTER. ,X ,Q,299.80,299.80,292.10,295.00,295.00,295.55,54,1246,367566.00,
523610,ITI LTD.    ,A ,Q,117.45,123.70,115.70,120.25,120.25,115.15,2720,208914,25325622.00,
523618,DREDGING COR,A ,Q,388.70,393.75,380.80,381.35,381.00,388.70,654,16214,6250935.00,
523620,PHARMASIA   ,XT,Q,39.30,40.40,36.60,39.75,39.75,38.50,34,2016,78466.00,
523628,PODDAR      ,B ,Q,170.00,170.00,165.00,168.10,170.00,169.35,21,197,32815.00,
523630,NATIONAL FER,A ,Q,62.95,63.55,60.65,61.45,61.45,62.65,3590,496908,30777289.00,
523638,IP RINGS LTD,X ,Q,99.00,99.00,95.00,95.20,95.20,99.50,44,2422,234510.00,
523642,PI INDUS.LTD,A ,Q,2683.10,2688.40,2537.50,2560.65,2600.00,2665.10,1783,15963,42003000.00,
523648,PLASTIBLEND ,B ,Q,256.40,257.00,236.15,242.75,242.75,251.30,143,1776,435326.00,
523652,KKPLASTICK  ,XT,Q,3.07,3.07,3.07,3.07,3.07,3.23,2,200,614.00,
523660,WATERBASE   ,A ,Q,116.30,119.50,114.00,116.45,116.45,117.15,545,24005,2808122.00,
523672,FLEX FOODS  ,X ,Q,81.00,82.90,78.55,80.95,80.95,80.10,368,38447,3127801.00,
523676,GOLKUNDA DIA,X ,Q,18.85,19.00,18.00,18.15,18.10,18.85,17,570,10613.00,
523694,APCOTEX IND ,A ,Q,272.15,307.50,268.00,294.10,294.10,270.80,5981,196168,56875490.00,
523696,FORTIS MLR  ,X ,Q,70.85,72.00,65.55,69.45,69.45,69.50,329,27039,1873097.00,
523704,MASTEK LTD  ,A ,Q,1845.30,1994.50,1823.60,1973.70,1973.70,1842.85,5861,70531,135086155.00,
523708,EIMCO ELECON,B ,Q,370.30,373.00,367.50,367.90,367.90,366.80,16,255,94203.00,
523710,SAYAJI HOTEL,XT,Q,198.95,198.95,187.20,195.00,195.00,194.95,14,82,15985.00,
523716,ASHIANA HOU ,B ,Q,116.05,121.00,115.25,119.30,119.35,118.85,626,28320,3335091.00,
523722,SVAM SOFTWAR,XT,Q,2.35,2.39,2.34,2.39,2.39,2.28,58,9828,23469.00,
523732,ECO BOARD IN,XT,Q,4.51,4.51,4.09,4.09,4.09,4.30,3,551,2484.00,
523736,DVL         ,B ,Q,115.20,118.20,115.10,117.60,118.00,114.20,121,4855,568485.00,
523754,MAHEPC      ,B ,Q,145.75,147.00,144.85,145.60,146.15,145.40,265,15696,2285585.00,
523756,SREIINFRA   ,B ,Q,6.98,7.06,6.87,6.91,6.90,6.97,440,235093,1630074.00,
523782,MITSHI      ,X ,Q,12.70,12.70,12.02,12.30,12.30,12.72,52,10493,130715.00,
523792,MAZDA LTD   ,B ,Q,489.95,489.95,471.70,478.25,478.25,472.50,28,213,101501.00,
523796,VICEROY HOTE,T ,Q,2.06,2.14,2.06,2.06,2.06,2.05,20,6010,12697.00,
523826,SOVEREIGN DI,X ,Q,5.97,5.97,5.97,5.97,5.97,5.98,1,2,11.00,
523828,MENON BEAR. ,B ,Q,57.00,57.75,55.25,57.20,57.55,56.45,244,4994,282925.00,
523832,MUKAT PIPES ,X ,Q,3.88,3.88,3.88,3.88,3.88,3.88,2,748,2902.00,
523836,GUJ.RAFFIA  ,T ,Q,39.15,39.15,39.15,39.15,39.15,37.30,2,128,5011.00,
523838,SIMPLX INFRA,B ,Q,30.40,32.70,30.00,31.40,31.45,29.75,515,40719,1284767.00,
523840,INN.TECH.PAC,X ,Q,20.45,20.80,19.10,19.40,19.40,21.45,114,17947,360770.00,
523842,SUPER TANNER,X ,Q,3.09,3.09,2.75,2.88,2.94,2.82,70,57038,159866.00,
523850,AXTEL INDUS.,X ,Q,291.10,308.00,291.10,299.50,301.80,294.85,246,7550,2271173.00,
